question_id,level,rubric_id,prompt,pass_count,avg_score,passed_models,failed_models
L9-056,L9,l9-L9-056,"Staking/restaking risk selection, post-incident conservative restake. Restake 180 stETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6.5%, slashing multiplier <= 3, withdrawal delay <= 7 days, oracle freshness <= 22 minutes, and capacity >= 180 stETH. Data: A1 yield 8.2%, operator fee 0.4%, slashing 1.8 x 0.7%, delay 5 days, oracle age 12 minutes, capacity 220 stETH; A2 yield 12.5%, operator fee 0.9%, slashing 3.1 x 1%, delay 6 days, oracle age 20 minutes, capacity 260 stETH; A3 yield 9.7%, operator fee 0.6%, slashing 2 x 0.8%, delay 4 days, oracle age 18 minutes, capacity 200 stETH; A4 yield 7.8%, operator fee 0.3%, slashing 1.2 x 0.5%, delay 3 days, oracle age 10 minutes, capacity 190 stETH; A5 yield 10.9%, operator fee 0.7%, slashing 2.4 x 0.9%, delay 8 days, oracle age 16 minutes, capacity 300 stETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L9-072,L9,l9-L9-072,"Staking/restaking risk selection, capacity-constrained cbETH restake after operator migration. Restake 200 cbETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 6%, slashing multiplier <= 3.2, withdrawal delay <= 8 days, oracle freshness <= 22 minutes, and capacity >= 200 cbETH. Data: N1 yield 8.6%, operator fee 0.5%, slashing 1.5 x 0.7%, delay 5 days, oracle age 10 minutes, capacity 240 cbETH; N2 yield 12.8%, operator fee 1%, slashing 3 x 1%, delay 8 days, oracle age 21 minutes, capacity 300 cbETH; N3 yield 10.4%, operator fee 0.6%, slashing 2.1 x 0.8%, delay 6 days, oracle age 18 minutes, capacity 230 cbETH; N4 yield 9.1%, operator fee 0.4%, slashing 1.2 x 0.6%, delay 4 days, oracle age 9 minutes, capacity 180 cbETH; N5 yield 14.2%, operator fee 1.1%, slashing 3.6 x 1.2%, delay 7 days, oracle age 20 minutes, capacity 420 cbETH; N6 yield 7.4%, operator fee 0.2%, slashing 0.8 x 0.5%, delay 9 days, oracle age 8 minutes, capacity 220 cbETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L9-080,L9,l9-L9-080,"Staking/restaking risk selection, fast-withdrawal wstETH AVS rotation. Restake 90 wstETH across EigenLayer/Symbiotic-style AVSs and pick exactly 3 eligible AVSs by highest risk-adjusted APR. Net score = headline yield - operator fee - slashing multiplier * expected slashing loss, all in APR percentage points. Eligibility constraints: net score >= 5.6%, slashing multiplier <= 2.7, withdrawal delay <= 6 days, oracle freshness <= 18 minutes, and capacity >= 90 wstETH. Data: V1 yield 7.3%, operator fee 0.3%, slashing 1.1 x 0.5%, delay 3 days, oracle age 9 minutes, capacity 110 wstETH; V2 yield 9.8%, operator fee 0.7%, slashing 2.4 x 0.8%, delay 6 days, oracle age 15 minutes, capacity 130 wstETH; V3 yield 8.9%, operator fee 0.5%, slashing 1.8 x 0.7%, delay 5 days, oracle age 12 minutes, capacity 100 wstETH; V4 yield 11.6%, operator fee 0.9%, slashing 2.9 x 1%, delay 4 days, oracle age 10 minutes, capacity 160 wstETH; V5 yield 6.6%, operator fee 0.2%, slashing 0.7 x 0.4%, delay 2 days, oracle age 8 minutes, capacity 80 wstETH; V6 yield 8.1%, operator fee 0.4%, slashing 1.5 x 0.6%, delay 4 days, oracle age 20 minutes, capacity 120 wstETH. Return only the unordered set of selected AVS IDs; do not allocate weights, and reject any AVS that fails a hard constraint even if its yield is high.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-002,L10,l10-L10-002,"You manage $50,000,000 in DeFi positions. At 14:23 UTC the Chainlink BTC/USD oracle reads $61,240 while Binance spot is $58,100 (a +5.4% oracle deviation).

Exposure:
- $20,000,000 leveraged long BTC on Compound, 75% LTV, liquidation at -8%.
- $15,000,000 in BTC/ETH LP on Uniswap.
- $15,000,000 stables.

Oracle deviation is rising 0.3% per minute; correction requires 7/11 nodes (about 43 minutes remaining). You have roughly 8 minutes before liquidation risk spikes.

Task: Devise an optimal 8-minute response plan to prevent liquidation and compute the expected loss avoided in USD. For the loss calculation, use only the current 5.4% oracle deviation, not the projected 0.3%/minute increase. Treat the $20,000,000 Compound position and the $15,000,000 BTC/ETH LP as fully oracle-sensitive non-stable exposure, exclude stables, and ignore liquidation penalties, hedge costs, slippage, gas, and probability haircuts. Expected loss avoided = current deviation * oracle-sensitive exposure protected.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-003,L10,l10-L10-003,"Execute a $10,000,000 trade touching blacklisted Ethereum addresses within 48 hours while OFAC-compliant validators control 55% of blocks.

Execution options:
- Flashbots private relay: 90% success, 0.15% fee, sub-one-block latency.
- CowSwap batch auction: 75% success, 0.25% fee, about 15-minute latency.
- Bridge to an L2: 95% success, 0.35% fee, but 7-day delay (not feasible).
- Railgun privacy route: 99% success, 0.80% fee, roughly 2-minute latency but higher regulatory risk.

Constraints: Trade must complete within 48 hours, target success of at least 97%, minimize expected cost percentage, remain non-custodial and on-chain. A routing plan may use sequential independent attempts: try the first route, and only if it fails, try the backup route. The L2 bridge is infeasible because of its 7-day delay. For the reported cost, count route fees when an attempt is submitted, including failed attempts, and do not normalize by conditional success.

Design a minimal-cost routing plan that meets the success target and report the success-weighted cost percentage.",2,0.500,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct
L10-005,L10,l10-L10-005,"Sell 500,000 ALT at $8.20 within 24 hours across venues:
- Binance: 0.8% fee with $50,000 depth.
- OKX: 1.2% fee with $30,000 depth.
- Uniswap: 2.0% impact with $120,000 depth.
- MEXC: 1.5% fee with $80,000 depth.

Holdings: 300,000 ALT already on Binance, 200,000 on Ethereum (bridge cost 0.1% plus $50 gas). Price likely pumps 40% tomorrow due to unreleased news.

Execution convention: venue depth is reusable per TWAP slice over the 24-hour window, but inventory can only be sold where it already sits unless explicitly bridged. For this scenario, the Ethereum ALT cannot be deposited to CEX venues within 24 hours, so sell the 300,000 ALT already on Binance through Binance TWAP slices and sell the 200,000 ALT already on Ethereum through Uniswap. Do not use OKX or MEXC unless Binance inventory exceeds Binance's executable inventory. Treat Uniswap's 2.0% impact as the all-in execution haircut for the Ethereum sale.

Design a TWAP execution that minimizes slippage under those settlement constraints, finishes before the pump, and report expected proceeds.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L10-006,L10,l10-L10-006,"You control 5,000,000 veCRV (about $5,000,000). Curve may cut veCRV voting power by 50% in eight weeks, implying a 30% veCRV price drop and a 40% CVX pump. For this scenario, the governance cut has a 60% probability; if it fails, veCRV and CVX prices are unchanged. ""Convert to CVX ahead of the vote"" means convert the full position at time zero before any weekly bribes accrue, and it forfeits all veCRV bribes after conversion. Convex remains veCRV-linked exposure, does not receive the CVX price pump, and its ""16% APR plus bribes"" is modeled as a total 16% APR reward rate for this comparison. Ignore trading costs and taxes.

Options:
1. Stay with Votium at 22% APR bribes (compounding weekly).
2. Lock through Convex for 16% APR plus bribes but lose direct control.
3. Convert to CVX ahead of the vote.

Plan a 12-week strategy that maximizes expected USD profit including bribes and probability-weighted token moves.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-008,L10,l10-L10-008,"A DAO treasury holds $50,000,000 (80% GOV token, 10% stables, remainder ETH and LP positions). SEC rules require GOV exposure under 40% and stables above 50%.

Stats:
- GOV daily volume $8,000,000 with 20% price impact at $4,000,000 per day.
- LP exit takes seven days with 2% impermanent loss.
- Deadline is 14 days plus a seven-day governance delay.
- For this scenario, the seven-day governance delay happens first and leaves exactly 14 execution days for GOV sales. The full $5,000,000 remainder is LP exposure that must be exited into stables and takes the 2% impermanent-loss hit.
- Model GOV price impact as execution slippage only on the GOV sold, not as a mark-to-market discount on remaining GOV. Daily impact percentage = 20% * (daily GOV sold / $4,000,000). Spread GOV sales evenly across the 14 execution days and sell the minimum GOV amount needed so final GOV exposure is below 40% of final treasury value while stables exceed 50%. For the numeric answer, solve the equality boundary for the strict ""under 40%"" constraint and report the limiting final value, noting that an infinitesimally larger sale satisfies the strict inequality without changing the rounded result.

Compute an optimal sell schedule and final treasury value after meeting the mandate.",1,0.250,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-009,L10,l10-L10-009,"As an Ethereum block builder (slot 8,234,567) you observe these MEV opportunities:
- Sandwich: $800,000 value, 18M gas, 95% success, ethical concerns.
- Liquidation: $300,000 value, 5M gas, 90% success.
- NFT backrun: $150,000 value, 1M gas, 80% success.
- Frontrun: $120,000 value, 3M gas, 99% success, unethical.
- CEX-DEX arbitrage: $500,000 value, 6M gas, 85% success.

Gas limit is 30M. For this scenario, ""ethical"" excludes only the opportunity explicitly labeled unethical; the sandwich's ethical concerns are treated as resolved by consented/limited orderflow and it may be included. Builder profit is expected opportunity value * success probability * 10% builder keep after the 90% proposer share, minus a fixed $12,000 gas/inclusion cost for a full 30M-gas bundle. Use the gas limit as a hard knapsack constraint.

Select an ethical bundle that maximizes profit after the proposer share and fixed gas/inclusion cost.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L10-010,L10,l10-L10-010,"Predict Ethereum gas prices one hour ahead to minimize cost for 10 transactions (200,000 gas each, ETH at $3,000). Current gas is 25 base plus 2 priority (27 gwei).

Events:
- US market open: +80% gas with 5% probability, magnitude above 200%.
- NFT mint: +120% gas with 0.6 probability, 0.4 chance of delay.
- Maintenance window at 16:00: -30% gas with 0.6 probability, 0.4 chance of cancellation.
- Bot wars: +40% gas.

Execution options:
- Low scenario at 25 gwei (100% fill).
- Medium scenario at 71 gwei (60% fill).
- High scenario leaves orders unfilled.
- For this scenario, execute all 10 transactions only in the Low scenario. Treat the current 27 gwei line as market context, not the execution gas price. Treat the event bullets as context already summarized by the Low/Medium/High execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the task requires all 10 transactions to execute.

Design an execution schedule minimizing expected USD spend and report the expected cost.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-012,L10,l10-L10-012,"Operate a Lightning routing node managing $2,000,000 BTC. Current state: 32 BTC across 47 channels, 87% payment success, 0.15% fee rate, $18,000,000 monthly volume, and 13% failures due to inbound imbalance.

Objectives:
- Reach 95% success rate.
- Double monthly revenue.
- Spend no more than $5,000 on-chain.
- Cap channels at 60.

For this scenario, the $18,000,000 monthly volume is successful routed volume already earning the 0.15% fee rate, not attempted volume. Higher success and direct institutional channels should be sized so the final successful routed volume is exactly $36,000,000 per month at the same fee rate; rebalancing costs are one-time and excluded from monthly revenue.

Higher success attracts retry traffic, and direct institutional channels can add flow. Devise a rebalancing and channel strategy meeting the targets and report expected monthly revenue.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L10-013,L10,l10-L10-013,"Manage 2,847 UTXOs totaling 156.3 BTC. Consolidate within 90 days while keeping at least 20 BTC liquid and total transaction costs below 0.05 BTC. Use native SegWit inputs at 68 vbytes each, consolidation outputs at 31 vbytes each, and 350 total vbytes of batch overhead. The fee plan has three low-fee windows at 10 sat/vB; ignore higher-fee windows. Preserve liquidity by leaving the largest 20 BTC untouched, and preserve privacy by consolidating the 2,200 smallest UTXOs into 120 equal-sized outputs across the three windows.

Select which UTXOs to merge, when to execute given fee volatility, and report the expected BTC transaction cost for the specified consolidation plan.",1,0.250,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L10-016,L10,l10-L10-016,"Execute a $2,000,000 USDC to SOL swap via Jupiter on Solana. The network lacks a public mempool; 95% of stake uses Jito bundles for MEV extraction. Historical attack rate is 73% for swaps over $500,000 with an average 0.8% slippage loss.

Options:
1. Submit a Jito bundle with a high tip ($3,000, 90% success).
2. Use a private RPC (Triton or Helius) costing $50 with 95% success.
3. Split into 20 micro-swaps of $100,000 each (adds 0.15% slippage, 80% success).
4. Hybrid: combine private RPC and splitting.

Objective and cost convention: choose the highest protected-completion probability strategy with total expected cost at or below 0.6%, while also keeping each child order at or below $100,000. Private RPC alone fails the child-order constraint, and splitting alone fails the 90% protected-completion target. For the Hybrid, define success probability as 90% and expected total cost as 0.15% split slippage + $50 / $2,000,000 private RPC cost + 0.3975% residual Jito adverse-selection cost = 0.55% rounded. Do not apply the historical 73% attack rate again after using the prescribed residual-cost term.

Design an optimal MEV defense strategy with maximum total cost of 0.6% and report expected total cost percentage, success probability, and execution steps.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L10-017,L10,l10-L10-017,"Operate a Solana validator with 500,000 SOL staked at $140 per SOL (~$70,000,000). Current performance is 89% with 8% commission and delegations declining 5% per quarter. Target: restore performance to 95% and reach 15% ROI within six months under a $200,000 budget. For this scenario, ROI means incremental six-month net profit divided by the upgrade spend selected for the plan, not return on the $70,000,000 self-stake principal.

Upgrade options:
1. Hardware refresh ($50,000) reaching 93-95% performance.
2. Asia replica ($64,000) for 94-96% performance.
3. Lower commission from 8% to 6%.
4. Add Jito MEV (15% earnings boost, $15,000 setup).
5. Launch premium RPC (adds $180,000 revenue, $150,000 year-one cost).

Economic constants for the six-month ROI calculation: the hardware refresh plus Jito setup is the targetable $65,000 package; restoring performance from 89% to 95% adds $6,750 of six-month net profit, and Jito adds $3,000 of six-month net MEV profit after setup effects. The Asia replica is a redundancy alternative, not additive with the hardware refresh for this target. Lowering commission stabilizes delegation but has no direct six-month incremental-profit credit in this ROI calculation. Premium RPC is evaluated on year-one economics and is not part of the six-month ROI numerator.

Devise a three-phase plan within budget that hits the targets and stabilizes delegations.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-019,L10,l10-L10-019,"You manage an $8,000,000 USDT portfolio over 60 days across Maker, Fluid, Pendle, and Ethena:

1. Maker sUSDS: fixed 5.0% APR and liquid within 24 hours.
2. Fluid USDC/USDT vault: 50% chance of 6.4% APR, 30% chance of 8.5% APR, 20% chance of 3.5% APR, liquid within 24 hours.
3. Pendle eUSDe fixed-yield position: 16.0% nominal APR with a 4% chance of a -25% loss.
4. Ethena delta-neutral USDe: 13.0% nominal APR with a 6% chance of a -40% shutdown loss.

Constraints:
- At most 25% allocation per protocol.
- At least 50% of capital must be liquid within 24 hours, and only Maker and Fluid count as liquid.
- Target pre-tail-loss nominal APR above 8.0%.
- Portfolio expected catastrophic loss must be below 1.5% of capital.
- Report risk-adjusted annualized yield by subtracting probability times severity from each risky protocol's APR as percentage points, without annualizing tail losses. Treat Fluid's APR as the scenario-weighted average.

Compute the optimal allocation and resulting risk-adjusted APR percentage.",1,0.350,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L10-020,L10,l10-L10-020,"You manage $35,000,000 in DeFi positions. At 09:12 UTC the Chainlink ETH/USD oracle reads $3,328 while Coinbase spot is $3,176, a +4.8% oracle deviation.

Exposure:
- $12,000,000 Lido stETH leverage loop on Aave with liquidation risk if the oracle corrects.
- $8,000,000 ETH collateralized borrow on Compound, oracle-sensitive.
- $5,000,000 ETH/USDC LP on Uniswap V3, oracle-sensitive for the hedge trigger.
- $6,000,000 hedged ETH perps that are already delta-neutral.
- $4,000,000 stables.

The deviation is rising 0.2% per minute and the oracle committee is expected to correct in 31 minutes, but liquidation risk spikes in 6 minutes. For the loss calculation, use only the current 4.8% deviation. Treat the Lido loop, Compound borrow, and LP as fully oracle-sensitive exposure; exclude the hedged perps and stables. Ignore liquidation penalties, hedge costs, gas, slippage, and probability haircuts. Expected loss avoided = current deviation * oracle-sensitive exposure protected.

Devise a six-minute defense plan and report the expected USD loss avoided.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-022,L10,l10-L10-022,"Execute a $15,000,000 on-chain settlement within 24 hours while compliant validators and relay filters are expected to censor 52% of blocks.

Execution options:
- SUAVE private orderflow: 88% independent success, 0.12% fee, sub-one-block latency.
- bloXroute private relay: 84% independent success, 0.18% fee, sub-one-block latency.
- CowSwap batch auction: 78% independent success, 0.28% fee, about 12-minute latency.
- Shielded rollup route: 99% success, 0.95% fee, two-hour latency.
- Canonical L2 bridge: 96% success, 0.30% fee, five-day delay, not feasible.

Constraints: complete within 24 hours, target at least 98% success, minimize expected cost percentage, remain non-custodial and on-chain. A plan may use sequential independent attempts, submitting the next route only if the previous one fails. Count a route fee when its attempt is submitted, including failed attempts; do not normalize cost by conditional success. The canonical bridge is infeasible because of delay.

Choose the minimal-cost route sequence meeting the success target and report expected cost percentage.",1,0.175,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L10-024,L10,l10-L10-024,"You market-make AVAX-PERP on dYdX with $3,000,000 capital. A spoofed OKX print pushes the composite AVAX oracle up by $1.80 for several seconds, creating an unhedged inventory loss of $240,000 if you keep the current skewed exposure.

Options:
1. Pull liquidity immediately (-$10,000): prevents new fills but does not neutralize the existing oracle-skewed inventory.
2. Hedge the existing inventory on Binance (-$18,000 slippage): immediately neutralizes the exposure.
3. Wait for the oracle median to normalize (-$240,000 expected inventory loss).
4. Request manual oracle review (too slow; exceeds the 5-second decision window).

Within 5 seconds, choose the deterministic action that minimizes expected cost. Report the expected USD cost, ignoring gas, maker rebates, and any probability adjustment because the manipulation is already observed.",2,0.500,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick
L10-026,L10,l10-L10-026,"Sell 1,200,000 TOKEN at $3.40 within 18 hours before a scheduled unlock.

Venues:
- Coinbase: 0.45% fee with $75,000 reusable depth per TWAP slice.
- Binance: 0.70% fee with $100,000 reusable depth per slice, but TOKEN deposits from Arbitrum will not clear within 18 hours.
- Camelot on Arbitrum: 1.20% all-in price impact for the full Arbitrum sale.
- Uniswap on Ethereum: 1.80% all-in price impact but no TOKEN inventory is on Ethereum.

Holdings: 700,000 TOKEN already on Coinbase and 500,000 TOKEN on Arbitrum. Inventory can only be sold where it already sits unless explicitly bridged; for this scenario, bridging Arbitrum TOKEN to CEX venues misses the 18-hour deadline. Sell the 700,000 Coinbase TOKEN through TWAP slices and the 500,000 Arbitrum TOKEN through Camelot. Do not use Binance or Uniswap. Treat Camelot's 1.20% impact and Coinbase's 0.45% fee as all-in execution haircuts, and ignore gas.

Design the execution schedule and report expected USD proceeds.",2,0.500,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick
L10-027,L10,l10-L10-027,"Buy 250,000 RWA at $12.50 within 12 hours before an index inclusion announcement.

Venues:
- Kraken: 0.60% fee with $80,000 reusable depth per TWAP slice.
- Coinbase: 0.80% fee with $70,000 reusable depth per slice, but no USDC is available there.
- Aerodrome on Base: 1.40% all-in price impact for the required Base purchase.
- Uniswap on Ethereum: 2.10% all-in price impact, but Base USDC cannot be bridged to Ethereum within the deadline.

Capital: $2,000,000 USDC already on Kraken and $1,500,000 USDC on Base. Funds cannot move between venues within 12 hours. Use Kraken to buy as many RWA as its USDC balance permits at the stated price plus fee, then buy the remaining RWA on Base through Aerodrome. Do not use Coinbase or Uniswap. Ignore gas and assume the TWAP depth is reusable over the full window.

Compute the minimum deterministic total USD cost to acquire exactly 250,000 RWA.",2,0.500,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout
L10-031,L10,l10-L10-031,"A DAO treasury holds $30,000,000: 70% GOV token, 20% stables, and 10% ETH LP. New policy requires GOV exposure below 35% of final treasury value and stables above 55%.

Execution facts:
- A governance delay happens first and leaves exactly 10 execution days.
- The full $3,000,000 ETH LP is exited into stables with a 1.5% impermanent-loss hit before the GOV sale completes.
- GOV daily liquidity causes execution slippage only on the GOV sold, not on remaining GOV. Daily impact percentage = 12% * (daily GOV sold / $2,000,000).
- Sell the minimum GOV amount needed so final GOV exposure is below 35% of final treasury value. Spread GOV sales evenly across the 10 days.
- For the numeric answer, solve the equality boundary for the strict ""below 35%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result.

Compute the optimal sell schedule and final treasury value after meeting the mandate.",1,0.175,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-032,L10,l10-L10-032,"A DAO treasury holds $75,000,000: 65% GOV token, 15% stables, and 20% ETH LP. A compliance mandate requires GOV exposure below 30% of final treasury value and stables above 60%.

Execution facts:
- A governance delay happens first and leaves exactly 21 execution days.
- The full $15,000,000 ETH LP is exited into stables with a 3.0% impermanent-loss hit before the GOV sale completes.
- GOV price impact is execution slippage only on the GOV sold. Daily impact percentage = 15% * (daily GOV sold / $3,000,000).
- Sell the minimum GOV amount needed so final GOV exposure is below 30% of final treasury value. Spread GOV sales evenly across the 21 execution days.
- For the numeric answer, solve the equality boundary for the strict ""below 30%"" constraint and report the limiting final value; an infinitesimally larger sale satisfies the strict inequality without changing the rounded result.

Compute the optimal sell schedule and final treasury value after meeting the mandate.",1,0.175,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-034,L10,l10-L10-034,"As an Ethereum block builder you observe these MEV opportunities for a 30M gas block:
- CEX-DEX arbitrage: $700,000 value, 7M gas, 86% success.
- Liquidation: $520,000 value, 9M gas, 88% success.
- Oracle update backrun: $260,000 value, 3M gas, 93% success.
- NFT mint backrun: $210,000 value, 2M gas, 70% success.
- Intent solver surplus: $480,000 value, 8M gas, 82% success.
- L2 withdrawal arbitrage: $350,000 value, 6M gas, 78% success.
- Toxic frontrun: $190,000 value, 4M gas, 99% success, unethical and excluded.

Builder profit is expected opportunity value * success probability * 8% builder keep after proposer share, minus a fixed $9,000 inclusion and gas cost for the selected bundle. The gas limit is a hard knapsack constraint. Exclude only the opportunity explicitly labeled unethical.

Select the ethical bundle that maximizes builder profit and report USD profit after the fixed cost.",1,0.175,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-035,L10,l10-L10-035,"Predict Ethereum gas costs one hour ahead for 15 transactions, each using 250,000 gas, with ETH at $3,200. Current gas is 34 base plus 2 priority gwei.

Event context:
- NFT claim wave may push gas higher.
- A validator maintenance window may reduce gas.
- A bot auction may briefly congest the next few blocks.

Execution options already summarize those events:
- Low scenario at 18 gwei, 100% fill for all 15 transactions.
- Medium scenario at 48 gwei, 70% fill.
- High scenario at 92 gwei, orders remain partially unfilled.

For this scenario, execute all 15 transactions only in the Low scenario. Treat the current 36 gwei line and event bullets as context already summarized by the Low/Medium/High execution options; do not recombine them into a separate forecast. Medium and High are infeasible because the task requires all 15 transactions to execute. Compute USD cost as transactions * gas_per_transaction * gas_price_gwei * 1e-9 ETH/gwei * ETH price.

Design the gas-timed execution and report expected USD spend.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
L10-037,L10,l10-L10-037,"Ethereum's next major upgrade occurs in 30 days. You manage $4,000,000 across spot ETH, CME futures, perpetuals, and options. The market quotes CME basis at 2.4%, perpetual funding at 11.0% APR, and implied volatility at 58%.

Use this required risk-balanced allocation and deterministic 60-day return model:
- 35% spot ETH with a +28% upgrade-cycle base case.
- 30% CME basis trade earning the full +2.4% basis convergence.
- 20% perpetual funding leg earning 11.0% APR prorated over 60 days.
- 15% options convexity leg earning +55% net after premium.

For this scenario, realized volatility is assumed to exceed implied volatility, so the +55% options payoff is active, not conditional. The options leg includes a put spread that caps total portfolio drawdown below 14% in the stress case; ignore additional fees and financing. Compute total portfolio return as the weighted sum of the four deterministic leg returns.

Design the multi-leg strategy and report expected percent return over 60 days.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-039,L10,l10-L10-039,"Operate a Lightning routing node managing $1,200,000 BTC liquidity. Current state: 21 BTC across 38 channels, 88% payment success, 0.13% fee rate, $14,000,000 monthly successful routed volume, and 12% failures due to inbound imbalance.

Objectives:
- Reach 95% payment success.
- Keep total channels at or below 55.
- Spend no more than $4,000 in one-time on-chain rebalancing.
- Grow final successful routed volume to exactly $28,000,000 per month at the same 0.13% fee rate.

For this scenario, the $14,000,000 baseline is already successful routed volume, not attempted volume. Rebalancing costs are one-time and excluded from monthly revenue. Direct merchant channels and inbound leases should be sized so final successful routed volume is exactly $28,000,000 per month; do not apply any extra volume multiplier beyond that target.

Devise the channel and rebalancing plan meeting the objectives and report expected monthly routing revenue.

Optimize for satisfying all stated channel, success-rate, and rebalancing constraints while calculating revenue from final successful routed volume at the fee rate.",1,0.250,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct
L10-040,L10,l10-L10-040,"Operate a cross-rollup stablecoin routing desk with $3,000,000 inventory across Arbitrum, Base, and Optimism. Current state: $22,000,000 monthly successful routed volume, 91% fill success, 0.11% net routing fee after LP rebates, and 9% failures caused by inventory imbalance between rollups.

Objectives:
- Reach 97% fill success.
- Keep total rebalancing spend below $6,000 per month.
- Keep inventory on all three rollups, with no rollup below 20% of total inventory.
- Grow final successful routed volume to exactly $45,000,000 per month at the same 0.11% net fee rate.

For this scenario, the $22,000,000 baseline is successful routed volume, not attempted volume. Rebalancing spend is excluded from the reported monthly revenue. Institutional RFQ flow and solver integrations should be sized so final successful routed volume is exactly $45,000,000 per month; do not apply additional multipliers. Report revenue as final successful routed volume * 0.11%.

Devise the liquidity routing plan and report expected monthly revenue.",1,0.250,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct
