question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms
L9-073,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4816,0,0.000,3371,0,0.000,2488,0,0.000,11411,0,0.000,1993
L9-074,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2016,0,0.000,1389,0,0.000,1426,0,0.000,3597,0,0.000,1653
L9-075,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,15291,0,0.000,1752,0,0.000,2623,0,0.000,6588,0,0.000,50200
L9-076,9,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,1.000,3453,1,1.000,1966,1,1.000,836,1,1.000,6900,1,1.000,4111
L9-077,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2487,0,0.000,1321,0,0.000,3509,0,0.000,2426,0,0.000,2693
L9-078,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3458,0,0.000,1592,0,0.000,1824,0,0.000,5681,0,0.000,4735
L9-079,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2041,0,0.000,3484,0,0.000,2379,0,0.000,1018,0,0.000,1282
L9-080,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1906,0,0.000,857,0,0.000,2772,0,0.000,2625,0,0.000,1370
L9-081,9,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2350,0,0.000,2478,0,0.000,2245,0,0.000,2160,0,0.000,2518
L10-001,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5140,0,0.000,12908,0,0.000,1583,0,0.000,3075,0,0.000,2994
L10-002,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.500,2868,0,0.000,5116,1,1.000,2966,1,1.000,1623,0,0.000,1767
L10-003,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3877,0,0.000,3078,1,1.000,7327,0,0.000,3598,0,0.000,1505
L10-004,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1866,0,0.000,3708,0,0.000,1707,0,0.000,902,0,0.000,1147
L10-005,10,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.425,4240,0,0.000,1251,1,1.000,7007,1,0.700,2014,0,0.000,6688
L10-006,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2677,0,0.000,2891,0,0.000,4341,0,0.000,1664,0,0.000,1812
L10-007,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2925,0,0.000,2210,0,0.000,3407,0,0.000,1642,0,0.000,4441
L10-008,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.675,3659,1,1.000,1413,0,0.000,4678,1,0.700,6672,1,1.000,1871
L10-009,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3192,0,0.000,4022,0,0.000,2578,0,0.000,4542,0,0.000,1625
L10-010,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2196,0,0.000,3289,0,0.000,2639,0,0.000,1788,0,0.000,1069
L10-011,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2660,0,0.000,2575,0,0.000,1575,0,0.000,2010,0,0.000,4481
L10-012,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.750,3438,1,1.000,2392,1,1.000,4403,1,1.000,4975,0,0.000,1980
L10-013,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2339,0,0.000,2281,0,0.000,4210,0,0.000,1782,1,1.000,1081
L10-014,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,3149,0,0.000,4529,0,0.000,2688,0,0.000,3655,0,0.400,1722
L10-015,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2844,0,0.000,2374,0,0.000,4130,0,0.000,2716,0,0.000,2155
L10-016,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,3154,1,1.000,2393,0,0.000,5154,1,1.000,3913,1,1.000,1156
L10-017,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4512,0,0.000,8054,0,0.000,6766,0,0.000,1563,0,0.000,1663
L10-018,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.200,2103,0,0.400,2237,0,0.000,2685,0,0.000,1447,0,0.400,2041
L10-019,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.350,3781,0,0.400,4498,0,0.000,3538,0,0.000,4903,1,1.000,2184
L10-020,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,1554,0,0.000,525,1,1.000,3187,0,0.000,1594,0,0.000,909
L10-021,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,2979,1,1.000,5348,0,0.000,3190,0,0.000,2378,0,0.000,999
L10-022,10,1,meta-llama/llama-4-maverick,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2443,0,0.000,1920,1,0.700,2265,0,0.000,4589,0,0.000,997
L10-023,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2506,0,0.000,1503,0,0.000,2050,0,0.000,3870,0,0.000,2600
L10-024,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.500,2597,0,0.000,4122,0,0.000,3264,1,1.000,1872,1,1.000,1129
L10-025,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2532,0,0.000,2682,0,0.000,3079,0,0.000,3493,1,1.000,872
L10-026,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,4182,1,1.000,2571,0,0.000,3734,1,1.000,5447,0,0.000,4976
L10-027,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.500,2510,1,1.000,2682,0,0.000,2714,0,0.000,2274,1,1.000,2370
L10-028,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,1426,1,0.700,1610,0,0.000,2114,0,0.000,868,0,0.000,1112
L10-029,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.450,4045,0,0.400,11199,0,0.000,2191,0,0.400,1274,1,1.000,1516
L10-030,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2445,0,0.000,4799,0,0.000,1220,0,0.000,1329,0,0.000,2431
L10-031,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,3308,0,0.400,7568,0,0.000,3896,0,0.000,846,0,0.000,921
L10-032,10,1,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.175,2873,1,0.700,3936,0,0.000,3701,0,0.000,2760,0,0.000,1096
L10-033,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3763,0,0.000,2351,0,0.000,4380,0,0.000,5211,0,0.000,3110
L10-034,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6257,0,0.000,5644,0,0.000,7079,0,0.000,8956,0,0.000,3347
L10-035,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2263,0,0.000,2388,0,0.000,2331,0,0.000,2659,0,0.000,1673
L10-036,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.250,4487,0,0.000,12945,0,0.000,2333,1,1.000,1488,0,0.000,1183
L10-037,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.425,3418,1,0.700,3066,1,1.000,4074,0,0.000,4863,0,0.000,1670
L10-038,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2640,0,0.000,3056,0,0.000,2998,0,0.000,1688,0,0.000,2817
L10-039,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2852,0,0.000,2610,0,0.000,3825,0,0.400,3511,0,0.000,1463
L10-040,10,2,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout,meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.500,2355,1,1.000,2718,0,0.000,2663,1,1.000,1975,0,0.000,2064
L10-041,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2696,0,0.000,3523,0,0.000,2481,0,0.000,3510,0,0.000,1269
L10-042,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2604,0,0.000,1566,0,0.000,4959,0,0.000,2196,0,0.000,1696
L10-043,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4871,0,0.000,6819,0,0.000,3543,0,0.000,7927,0,0.000,1196
L10-044,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3780,0,0.000,6532,0,0.000,2440,0,0.000,3559,0,0.000,2590
L10-045,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,2393,1,1.000,3577,1,1.000,3375,0,0.000,2223,1,1.000,395
L10-046,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-scout,0.750,4010,1,1.000,6688,1,1.000,4905,0,0.000,2645,1,1.000,1802
L10-047,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2916,0,0.000,2101,0,0.000,5928,0,0.000,1024,1,1.000,2611
L10-048,10,1,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,0.250,2465,0,0.000,599,0,0.000,5552,0,0.000,2390,1,1.000,1320
L10-049,10,2,meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick,0.600,2617,0,0.000,2534,0,0.400,4516,1,1.000,1292,1,1.000,2124
L10-050,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3192,0,0.000,1657,0,0.000,2145,0,0.000,7902,0,0.000,1064
L10-051,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2052,0,0.000,1517,0,0.000,2390,0,0.000,3042,0,0.000,1260
L10-052,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1819,0,0.000,2720,0,0.000,2333,0,0.000,1200,0,0.000,1021
L10-053,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2533,0,0.000,2414,0,0.000,3351,0,0.000,1938,0,0.000,2428
L10-054,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,1708,0,0.000,1771,0,0.400,2742,0,0.000,1510,0,0.000,807
L10-055,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,14016,0,0.000,3902,0,0.000,5139,0,0.000,6004,0,0.000,41019
L10-056,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2307,0,0.000,5074,0,0.000,1459,0,0.000,954,0,0.000,1740
L10-057,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2729,0,0.400,4525,0,0.000,4360,0,0.000,746,0,0.000,1285
L10-058,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2158,0,0.000,3283,0,0.400,1390,0,0.000,2529,0,0.000,1429
L10-059,10,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,meta-llama/llama-4-maverick,0.750,1660,1,1.000,1847,0,0.000,1549,1,1.000,2279,1,1.000,965
L10-060,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1833,0,0.000,1663,0,0.000,2672,0,0.000,1592,0,0.000,1406
L10-061,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,8899,0,0.000,2234,0,0.000,1658,0,0.000,1761,0,0.000,29942
L10-062,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2425,0,0.000,3971,0,0.000,1927,0,0.000,1080,0,0.000,2720
L10-063,10,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.775,1576,1,0.700,1662,1,0.700,2817,1,1.000,913,1,0.700,912
L10-064,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4675,0,0.000,2897,0,0.000,7410,0,0.000,6395,0,0.000,1998
L10-065,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1915,0,0.000,2973,0,0.000,2392,0,0.000,1043,0,0.000,1252
L10-066,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1751,0,0.000,2203,0,0.000,2532,0,0.000,1424,0,0.000,844
L10-067,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1747,0,0.000,2251,0,0.000,1898,0,0.000,917,0,0.000,1921
L10-068,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,2607,0,0.000,1673,0,0.000,3661,1,0.700,3321,0,0.000,1773
L10-069,10,1,meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-3.1-8b-instruct,0.175,1415,0,0.000,1197,0,0.000,1570,1,0.700,1943,0,0.000,948
AGI-001,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.045,5248,0,0.052,3477,0,0.000,2052,0,0.052,4542,0,0.078,10922
AGI-002,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.059,5043,0,0.088,6018,0,0.147,5265,0,0.000,4361,0,0.000,4527
AGI-003,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.214,2775,0,0.286,3089,0,0.286,3645,0,0.000,2915,0,0.286,1450
AGI-004,11,4,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,,0.731,4523,1,0.731,3300,1,0.731,5932,1,0.731,3378,1,0.731,5480
AGI-005,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,4302,0,0.500,5704,0,0.375,5581,0,0.375,3261,0,0.125,2663
AGI-006,11,3,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.1-8b-instruct,0.618,3844,1,0.824,5189,1,0.765,3323,1,0.824,3464,0,0.059,3399
AGI-007,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.391,4328,0,0.313,8526,0,0.313,3077,0,0.625,3198,0,0.313,2510
AGI-008,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.167,6626,0,0.222,4725,0,0.222,6750,0,0.222,4431,0,0.000,10598
AGI-009,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2293,0,0.000,3211,0,0.000,2368,0,0.000,2354,0,0.000,1237
AGI-010,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.341,4396,0,0.455,5908,0,0.455,3010,0,0.030,2422,0,0.424,6245
AGI-011,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.242,3005,0,0.313,3235,0,0.344,2151,0,0.313,3909,0,0.000,2724
AGI-012,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5226,0,0.000,7621,0,0.000,4726,0,0.000,4960,0,0.000,3596
AGI-013,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.331,5325,0,0.604,8083,0,0.360,5064,0,0.360,3465,0,0.000,4687
AGI-014,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.509,4141,0,0.509,3472,0,0.509,5394,0,0.509,4496,0,0.509,3202
AGI-015,11,2,meta-llama/llama-4-maverick;meta-llama/llama-4-scout,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-3.1-8b-instruct,0.673,4177,0,0.192,4352,1,0.923,4959,1,0.885,3130,0,0.692,4266
AGI-021,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.225,2702,0,0.200,2950,0,0.300,3764,0,0.200,3094,0,0.200,1001
AGI-022,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,5231,0,0.200,7756,0,0.300,3810,0,0.200,4629,0,0.300,4730
AGI-023,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.200,3776,0,0.200,904,0,0.200,4639,0,0.200,3981,0,0.200,5578
AGI-024,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.409,5615,0,0.636,7885,0,0.636,1800,0,0.091,2176,0,0.273,10598
AGI-025,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.432,5679,0,0.636,8465,0,0.636,7895,0,0.273,5395,0,0.182,961
AGI-026,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.364,5473,0,0.545,5601,0,0.636,2566,0,0.182,2565,0,0.091,11158
AGI-027,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.143,3458,0,0.000,2951,0,0.286,3706,0,0.000,3744,0,0.286,3431
AGI-028,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,4888,0,0.286,8077,0,0.286,6611,0,0.286,2807,0,0.286,2056
AGI-029,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,4412,0,0.286,6157,0,0.286,4294,0,0.286,3504,0,0.286,3694
AGI-030,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.364,4593,0,0.000,5158,0,0.636,3550,0,0.455,3799,0,0.364,5864
AGI-031,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.341,6515,0,0.273,5761,0,0.545,3770,0,0.455,5823,0,0.091,10704
AGI-032,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,5715,0,0.400,13332,0,0.100,2991,0,0.400,4488,0,0.100,2050
AGI-033,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,4449,0,0.125,4084,0,0.375,3444,0,0.375,3495,0,0.125,6773
AGI-034,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.281,2733,0,0.375,3991,0,0.375,2567,0,0.250,3654,0,0.125,720
AGI-035,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.219,4240,0,0.125,4578,0,0.375,6951,0,0.250,4533,0,0.125,897
AGI-036,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.250,3821,0,0.375,2373,0,0.000,2236,0,0.375,1659,0,0.250,9015
AGI-037,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,2555,0,0.375,2022,0,0.375,4380,0,0.250,2232,0,0.375,1587
AGI-038,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.286,3303,0,0.286,2802,0,0.286,6274,0,0.286,2253,0,0.286,1882
AGI-039,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.188,13728,0,0.000,2292,0,0.250,1426,0,0.250,2651,0,0.250,48544
AGI-040,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.188,2934,0,0.000,2097,0,0.250,5285,0,0.250,3055,0,0.250,1297
