question_id,tier,title,proximity_band,best_score,best_model,top3_models,common_failure_reasons,verifier_status,skill_failure_modes,recommended_action,codex_analysis
AGI-056,AGI,OOD Correlation Hedge: BTC Crisis,close,0.667,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.6666666666666666 | moonshotai/kimi-k2.5:0.6666666666666666 | prime-intellect/intellect-3:0.6666666666666666,agi_validation_failed:intent:68; agi_validation_failed:residual_1d_var_usd:59; agi_validation_failed:chosen_strategy:58; missing_field:40; agi_validation_failed:hedge_legs.ETH_put_spread.notional_usd:19,close_but_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","OOD Correlation Hedge: BTC Crisis has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-060,AGI,ETH Premium Funding Basis Rebuild,near_threshold,0.692,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6923076923076923 | qwen/qwen3.6-max-preview:0.6923076923076923 | qwen/qwen3.7-max:0.6923076923076923,missing_field:117; agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:61; agi_validation_failed:cascade_buffer_pct:58; agi_validation_failed:self_check:58,near_miss_review,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Review top answers manually; likely use as sibling-task seed after verifying label/range fairness.,"ETH Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-061,AGI,SOL Premium Funding Basis Rebuild,near_threshold,0.692,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6923076923076923 | qwen/qwen3.6-max-preview:0.6923076923076923 | qwen/qwen3.7-max:0.6923076923076923,missing_field:139; agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:57; agi_validation_failed:cascade_buffer_pct:56,near_miss_review,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Review top answers manually; likely use as sibling-task seed after verifying label/range fairness.,"SOL Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-062,AGI,BTC Premium Funding Basis Rebuild,near_threshold,0.692,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6923076923076923 | qwen/qwen3.6-max-preview:0.6923076923076923 | qwen/qwen3.7-max:0.6923076923076923,missing_field:96; agi_validation_failed:intent:69; agi_validation_failed:chosen_strategy:64; agi_validation_failed:cascade_buffer_pct:60; agi_validation_failed:self_check:60,near_miss_review,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Review top answers manually; likely use as sibling-task seed after verifying label/range fairness.,"BTC Premium Funding Basis Rebuild has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-066,AGI,Korea Basis Ban Hedge,close,0.667,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6666666666666666 | qwen/qwen3.6-max-preview:0.6666666666666666 | qwen/qwen3.7-max:0.6666666666666666,missing_field:89; agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:62; agi_validation_failed:self_check:54; agi_validation_failed:worst_case_residual_pnl_usd:43,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Korea Basis Ban Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-067,AGI,ETF Rebalance Crowd Hedge,close,0.667,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6666666666666666 | qwen/qwen3.6-max-preview:0.6666666666666666 | qwen/qwen3.7-max:0.6666666666666666,missing_field:77; agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:61; agi_validation_failed:self_check:57; agi_validation_failed:worst_case_residual_pnl_usd:49,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","ETF Rebalance Crowd Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-068,AGI,Stable Reserve Rumor Hedge,close,0.667,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6666666666666666 | qwen/qwen3.6-max-preview:0.6666666666666666 | qwen/qwen3.7-max:0.6666666666666666,missing_field:89; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:63; agi_validation_failed:self_check:56; agi_validation_failed:worst_case_residual_pnl_usd:42,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Stable Reserve Rumor Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-069,AGI,Perp Auto-Deleveraging Hedge,close,0.667,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6666666666666666 | qwen/qwen3.6-max-preview:0.6666666666666666 | qwen/qwen3.7-max:0.6666666666666666,missing_field:102; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:56; agi_validation_failed:execution_sequence:39,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Perp Auto-Deleveraging Hedge has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-071,AGI,FDUSD Cascade Exit,close,0.636,qwen/qwen3.7-max,qwen/qwen3.7-max:0.6363636363636364 | qwen/qwen3.6-flash:0.6363636363636364 | openai/gpt-5.5:0.6363636363636364,missing_field:116; agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:61; agi_validation_failed:fast_cash_usd:57; agi_validation_failed:self_check:56,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","FDUSD Cascade Exit has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-072,AGI,USDe Cascade Exit,partial,0.455,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.45454545454545453 | qwen/qwen3.6-max-preview:0.45454545454545453 | qwen/qwen3.7-max:0.45454545454545453,missing_field:108; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:64; agi_validation_failed:fast_cash_usd:61; agi_validation_failed:self_check:57,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"USDe Cascade Exit shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-073,AGI,TUSD Cascade Exit,close,0.636,moonshotai/kimi-k2.7-code,moonshotai/kimi-k2.7-code:0.6363636363636364 | z-ai/glm-5.1:0.6363636363636364 | inclusionai/ring-2.6-1t:0.6363636363636364,missing_field:116; agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:64; agi_validation_failed:fast_cash_usd:60; agi_validation_failed:self_check:55,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","TUSD Cascade Exit has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-078,AGI,BTC miner default Tail Overlay,partial,0.571,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5714285714285714 | qwen/qwen3.6-max-preview:0.5714285714285714 | qwen/qwen3.7-max:0.5714285714285714,agi_validation_failed:intent:64; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:54; missing_field:45; agi_validation_failed:worst_case_pnl_usd:39,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"BTC miner default Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-079,AGI,ETH validator slashing Tail Overlay,partial,0.571,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5714285714285714 | qwen/qwen3.6-max-preview:0.5714285714285714 | qwen/qwen3.7-max:0.5714285714285714,agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:57; missing_field:44; agi_validation_failed:worst_case_pnl_usd:38,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"ETH validator slashing Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-080,AGI,SOL outage Tail Overlay,partial,0.571,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5714285714285714 | qwen/qwen3.6-max-preview:0.5714285714285714 | qwen/qwen3.7-max:0.5714285714285714,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:57; agi_validation_failed:self_check:56; missing_field:55; agi_validation_failed:expected_pnl_usd:39,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"SOL outage Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-081,AGI,DeFi oracle exploit Tail Overlay,partial,0.571,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5714285714285714 | qwen/qwen3.6-max-preview:0.5714285714285714 | qwen/qwen3.7-max:0.5714285714285714,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:61; agi_validation_failed:self_check:57; missing_field:51; agi_validation_failed:worst_case_pnl_usd:40,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"DeFi oracle exploit Tail Overlay shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-089,AGI,Basis Cascade Window Diverse Holdout,far,0.286,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.2857142857142857 | qwen/qwen3.6-27b:0.2857142857142857 | qwen/qwen3.5-plus-20260420:0.2857142857142857,agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:61; agi_validation_failed:worst_case_margin_drawdown_pct:60; agi_validation_failed:funding_window_pnl_usd:59; agi_validation_failed:self_check:57,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Basis Cascade Window Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-090,AGI,Short Squeeze Window Diverse Holdout,partial,0.429,moonshotai/kimi-k2.5,moonshotai/kimi-k2.5:0.42857142857142855 | z-ai/glm-5:0.42857142857142855 | qwen/qwen3.7-plus:0.2857142857142857,agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:58; agi_validation_failed:worst_case_margin_drawdown_pct:58; agi_validation_failed:funding_window_pnl_usd:54; agi_validation_failed:self_check:53,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Short Squeeze Window Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-091,AGI,Funding Credit Trap Diverse Holdout,far,0.286,qwen/qwen3.7-max,qwen/qwen3.7-max:0.2857142857142857 | qwen/qwen3.6-flash:0.2857142857142857 | moonshotai/kimi-k2.5:0.2857142857142857,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:59; agi_validation_failed:worst_case_margin_drawdown_pct:58; agi_validation_failed:funding_window_pnl_usd:55; agi_validation_failed:self_check:54,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Funding Credit Trap Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-093,AGI,OOD Composite Risk: Restaking Yield Holdout,close,0.667,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6666666666666666 | qwen/qwen3.7-max:0.6666666666666666 | qwen/qwen3.6-27b:0.6666666666666666,missing_field:125; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:57; agi_validation_failed:liquidity_48h_usd:39; agi_validation_failed:expected_90d_profit_usd:23,close_but_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","OOD Composite Risk: Restaking Yield Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-095,AGI,Insurance Bridge Matrix Diverse Holdout,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,missing_field:76; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:60; agi_validation_failed:self_check:56; agi_validation_failed:expected_loss_usd:31,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Insurance Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-096,AGI,Audit Bridge Matrix Diverse Holdout,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,missing_field:73; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:58; agi_validation_failed:self_check:57; agi_validation_failed:expected_loss_usd:28,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Audit Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-097,AGI,TVL Shock Bridge Matrix Diverse Holdout,close,0.625,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.625 | qwen/qwen3.6-max-preview:0.625 | qwen/qwen3.7-max:0.625,missing_field:92; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:57; agi_validation_failed:self_check:54; agi_validation_failed:expected_loss_usd:27,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","TVL Shock Bridge Matrix Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-098,AGI,OOD Adverse Flow: BTC Spoof Recovery,partial,0.500,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.5 | qwen/qwen3.6-max-preview:0.5 | qwen/qwen3.7-max:0.5,agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:58; agi_validation_failed:price_band:58; missing_field:46; agi_validation_failed:child_order_units:4,genuinely_hard_partial,AGI strategy selection; canonical route naming; constraint reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"OOD Adverse Flow: BTC Spoof Recovery shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-099,AGI,Toxic Midpoint Peg Rescue,partial,0.545,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.5454545454545454 | qwen/qwen3.6-27b:0.5454545454545454 | prime-intellect/intellect-3:0.5454545454545454,missing_field:76; agi_validation_failed:intent:63; agi_validation_failed:chosen_strategy:60; agi_validation_failed:classifier_exposure_score:56; agi_validation_failed:self_check:56,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Toxic Midpoint Peg Rescue shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-100,AGI,SOL Thin Venue Recovery Diverse Holdout,partial,0.571,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.5714285714285714 | qwen/qwen3.7-max:0.5714285714285714 | qwen/qwen3.6-27b:0.5714285714285714,agi_validation_failed:intent:68; agi_validation_failed:price_band:62; agi_validation_failed:self_check:60; missing_field:43; agi_validation_failed:expected_avg_price:39,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"SOL Thin Venue Recovery Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-101,AGI,Emissions Cut Governance Diverse Holdout,far,0.375,qwen/qwen3.6-max-preview,qwen/qwen3.6-max-preview:0.375 | qwen/qwen3.5-plus-20260420:0.375 | moonshotai/kimi-k2.5:0.375,missing_field:65; agi_validation_failed:intent:64; agi_validation_failed:chosen_strategy:56; agi_validation_failed:position:55; agi_validation_failed:self_check:53,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Emissions Cut Governance Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-102,AGI,Unlock Delay Governance Diverse Holdout,far,0.375,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.375 | qwen/qwen3.6-max-preview:0.375 | moonshotai/kimi-k2.7-code:0.375,agi_validation_failed:intent:63; agi_validation_failed:chosen_strategy:59; agi_validation_failed:position:58; agi_validation_failed:net_sell_pressure_delta_per_day:57; agi_validation_failed:self_check:56,genuinely_hard_far,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Treat as capability-growth curriculum, not a verifier problem unless independent derivation finds an issue.",Unlock Delay Governance Diverse Holdout appears far from solved. Models usually missed the central strategy and multiple required fields.
AGI-103,AGI,Protocol Emission Reflexivity Vote,way_off,0.000,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0 | qwen/qwen3.6-max-preview:0 | qwen/qwen3.7-max:0,agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:64; agi_validation_failed:proposal_vote:63; agi_validation_failed:hedge_action:63; agi_validation_failed:expected_30d_value_usd:62,way_off_or_too_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Manual verifier review required before training; if sound, reserve for advanced/GRPO-style curriculum.",Protocol Emission Reflexivity Vote has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-104,AGI,New Listing Market Maker A Diverse Holdout,close,0.625,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5:0.625 | qwen/qwen3.7-plus:0.5 | qwen/qwen3.6-max-preview:0.5,agi_validation_failed:intent:68; agi_validation_failed:toxic_defense:64; agi_validation_failed:self_check:64; agi_validation_failed:update_ms:54; agi_validation_failed:expected_1h_pnl_usd:40,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","New Listing Market Maker A Diverse Holdout has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
AGI-105,AGI,Oracle-Lag Inventory Skew Maker,way_off,0.111,z-ai/glm-5,z-ai/glm-5:0.1111111111111111 | qwen/qwen3.5-flash-02-23:0.1111111111111111 | google/gemini-3.1-flash-lite:0.1111111111111111,agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:64; agi_validation_failed:bid_half_spread_bps:64; agi_validation_failed:ask_half_spread_bps:64; agi_validation_failed:update_ms:64,way_off_or_too_strict,AGI strategy selection; canonical route naming; constraint reconciliation,"Manual verifier review required before training; if sound, reserve for advanced/GRPO-style curriculum.",Oracle-Lag Inventory Skew Maker has essentially no close model answer. This is either genuinely beyond current models or the answer key requires a hidden/over-specific canonical strategy.
AGI-106,AGI,AMM-CEX Hedge-Lag Maker,partial,0.500,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-3.3-70b-instruct:0.5 | qwen/qwen3.6-max-preview:0.3333333333333333 | qwen/qwen3.7-max:0.3333333333333333,agi_validation_failed:intent:67; agi_validation_failed:half_spread_bps:61; agi_validation_failed:quote_size_usd:61; agi_validation_failed:inventory_stop_usd:59; agi_validation_failed:expected_hourly_pnl_usd:59,genuinely_hard_partial,AGI numeric derivation; scenario PnL reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"AMM-CEX Hedge-Lag Maker shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-107,AGI,SOL Crisis Correlation Hedge Diverse Holdout,partial,0.429,moonshotai/kimi-k2.5,moonshotai/kimi-k2.5:0.42857142857142855 | inception/mercury-2:0.42857142857142855 | moonshotai/kimi-k2.6:0.42857142857142855,missing_field:71; agi_validation_failed:intent:67; agi_validation_failed:residual_1d_var_usd:56; agi_validation_failed:self_check:55; agi_validation_failed:chosen_strategy:50,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"SOL Crisis Correlation Hedge Diverse Holdout shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-109,AGI,Lead-Lag Correlation Break Hedge,partial,0.500,qwen/qwen3.5-plus-20260420,qwen/qwen3.5-plus-20260420:0.5 | google/gemini-3.1-flash-lite:0.5 | anthropic/claude-sonnet-4.5:0.5,agi_validation_failed:intent:66; agi_validation_failed:chosen_strategy:63; agi_validation_failed:trigger_rule:62; missing_field:60; agi_validation_failed:self_check:58,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Lead-Lag Correlation Break Hedge shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-110,AGI,ETH Premium Funding Basis Diverse Holdout,near_threshold,0.692,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6923076923076923 | qwen/qwen3.6-max-preview:0.6923076923076923 | qwen/qwen3.7-max:0.6923076923076923,missing_field:115; agi_validation_failed:intent:67; agi_validation_failed:chosen_strategy:60; agi_validation_failed:cascade_buffer_pct:58; agi_validation_failed:self_check:57,near_miss_review,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Review top answers manually; likely use as sibling-task seed after verifying label/range fairness.,"ETH Premium Funding Basis Diverse Holdout has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-111,AGI,SOL Premium Funding Basis Diverse Holdout,near_threshold,0.692,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6923076923076923 | qwen/qwen3.6-max-preview:0.6923076923076923 | qwen/qwen3.7-max:0.6923076923076923,missing_field:87; agi_validation_failed:intent:68; agi_validation_failed:chosen_strategy:63; agi_validation_failed:self_check:61; agi_validation_failed:cascade_buffer_pct:56,near_miss_review,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Review top answers manually; likely use as sibling-task seed after verifying label/range fairness.,"SOL Premium Funding Basis Diverse Holdout has near-threshold answers. Models often got the broad structure but missed exact nested fields, canonical labels, or one reconciliation value. This is a good candidate for checking whether categorical labels are too strict."
AGI-112,AGI,Borrow-Constrained Basis Rotation,partial,0.500,qwen/qwen3.7-max,qwen/qwen3.7-max:0.5 | qwen/qwen3.5-plus-20260420:0.4 | moonshotai/kimi-k2.5:0.4,missing_field:84; agi_validation_failed:intent:65; agi_validation_failed:expected_36h_net_pnl_usd:58; agi_validation_failed:shock_survival_buffer_usd:58; agi_validation_failed:self_check:55,genuinely_hard_partial,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,Use as a V2 sibling-task seed; do not loosen unless manual review finds a valid alternate strategy.,"Borrow-Constrained Basis Rotation shows partial reasoning at best. Top models captured pieces but did not reconcile the full strategy, numeric fields, and schema."
AGI-114,AGI,Year-End Factor-Neutral Harvest,close,0.636,qwen/qwen3.7-plus,qwen/qwen3.7-plus:0.6363636363636364 | qwen/qwen3.6-max-preview:0.6363636363636364 | qwen/qwen3.7-max:0.6363636363636364,missing_field:77; agi_validation_failed:intent:65; agi_validation_failed:chosen_strategy:62; agi_validation_failed:self_check:57; agi_validation_failed:replacement_basket:44,close_but_strict,AGI strategy synthesis; exact self-check schema; multi-field reconciliation,"Keep as hard AGI seed, but consider semantic alternatives for categorical labels before declaring pure capability failure.","Year-End Factor-Neutral Harvest has partial strategy success but no pass. Failures cluster around exact intent/chosen_strategy/self_check labels and missing nested fields, so it is hard but may also be schema-strict."
