question_id,level,pass_count,pass_models,fail_models,avg_score,avg_duration_ms,llama33_70b_pass,llama33_70b_score,llama33_70b_duration_ms,llama33_70b_failures,llama4_maverick_pass,llama4_maverick_score,llama4_maverick_duration_ms,llama4_maverick_failures,llama4_scout_pass,llama4_scout_score,llama4_scout_duration_ms,llama4_scout_failures,llama31_8b_pass,llama31_8b_score,llama31_8b_duration_ms,llama31_8b_failures
L10-006,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2677,0,0.000,2891,l10_expected_value_out_of_range,0,0.000,4341,mismatch_fieldname,0,0.000,1664,l10_expected_value_out_of_range,0,0.000,1812,l10_expected_value_out_of_range
L10-007,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2925,0,0.000,2210,l10_expected_value_out_of_range,0,0.000,3407,l10_expected_value_out_of_range,0,0.000,1642,l10_expected_value_out_of_range,0,0.000,4441,l10_expected_value_out_of_range
L10-009,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3192,0,0.000,4022,l10_expected_value_out_of_range,0,0.000,2578,l10_expected_value_out_of_range,0,0.000,4542,l10_expected_value_out_of_range,0,0.000,1625,l10_expected_value_out_of_range
L10-010,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2196,0,0.000,3289,l10_expected_value_out_of_range,0,0.000,2639,l10_expected_value_out_of_range,0,0.000,1788,mismatch_fieldname,0,0.000,1069,l10_expected_value_out_of_range
L10-011,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2660,0,0.000,2575,l10_expected_value_out_of_range,0,0.000,1575,mismatch_fieldname,0,0.000,2010,l10_expected_value_out_of_range,0,0.000,4481,l10_expected_value_out_of_range
L10-014,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,3149,0,0.000,4529,l10_expected_value_out_of_range,0,0.000,2688,mismatch_fieldname,0,0.000,3655,l10_expected_value_out_of_range,0,0.400,1722,
L10-015,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2844,0,0.000,2374,l10_expected_value_out_of_range,0,0.000,4130,mismatch_fieldname,0,0.000,2716,l10_expected_value_out_of_range,0,0.000,2155,l10_expected_value_out_of_range
L10-017,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4512,0,0.000,8054,mismatch_fieldname,0,0.000,6766,mismatch_fieldname,0,0.000,1563,l10_expected_value_out_of_range,0,0.000,1663,l10_expected_value_out_of_range
L10-018,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.200,2103,0,0.400,2237,,0,0.000,2685,l10_expected_value_out_of_range,0,0.000,1447,l10_expected_value_out_of_range,0,0.400,2041,
L10-023,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2506,0,0.000,1503,l10_expected_value_out_of_range,0,0.000,2050,l10_expected_value_out_of_range,0,0.000,3870,l10_expected_value_out_of_range,0,0.000,2600,l10_expected_value_out_of_range
L10-030,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2445,0,0.000,4799,l10_expected_value_out_of_range,0,0.000,1220,l10_expected_value_out_of_range,0,0.000,1329,l10_expected_value_out_of_range,0,0.000,2431,l10_expected_value_out_of_range
L10-031,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,3308,0,0.400,7568,,0,0.000,3896,mismatch_fieldname,0,0.000,846,l10_expected_value_out_of_range,0,0.000,921,l10_expected_value_out_of_range
L10-033,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3763,0,0.000,2351,l10_expected_value_out_of_range,0,0.000,4380,l10_expected_value_out_of_range,0,0.000,5211,l10_expected_value_out_of_range,0,0.000,3110,l10_expected_value_out_of_range
L10-034,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,6257,0,0.000,5644,l10_expected_value_out_of_range,0,0.000,7079,l10_expected_value_out_of_range,0,0.000,8956,l10_expected_value_out_of_range,0,0.000,3347,l10_expected_value_out_of_range
L10-035,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2263,0,0.000,2388,l10_expected_value_out_of_range,0,0.000,2331,l10_expected_value_out_of_range,0,0.000,2659,l10_expected_value_out_of_range,0,0.000,1673,l10_expected_value_out_of_range
L10-038,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2640,0,0.000,3056,l10_expected_value_out_of_range,0,0.000,2998,l10_expected_value_out_of_range,0,0.000,1688,l10_expected_value_out_of_range,0,0.000,2817,l10_expected_value_out_of_range
L10-039,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2852,0,0.000,2610,l10_expected_value_out_of_range,0,0.000,3825,mismatch_fieldname,0,0.400,3511,,0,0.000,1463,l10_expected_value_out_of_range
L10-041,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2696,0,0.000,3523,l10_expected_value_out_of_range,0,0.000,2481,l10_expected_value_out_of_range,0,0.000,3510,l10_expected_value_out_of_range,0,0.000,1269,l10_expected_value_out_of_range
L10-042,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2604,0,0.000,1566,l10_expected_value_out_of_range,0,0.000,4959,l10_expected_value_out_of_range,0,0.000,2196,l10_expected_value_out_of_range,0,0.000,1696,l10_expected_value_out_of_range
L10-043,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4871,0,0.000,6819,mismatch_fieldname,0,0.000,3543,mismatch_fieldname,0,0.000,7927,l10_expected_value_out_of_range,0,0.000,1196,l10_expected_value_out_of_range
L10-044,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3780,0,0.000,6532,mismatch_fieldname,0,0.000,2440,mismatch_fieldname,0,0.000,3559,mismatch_fieldname,0,0.000,2590,l10_expected_value_out_of_range
L10-050,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,3192,0,0.000,1657,l10_expected_value_out_of_range,0,0.000,2145,mismatch_fieldname,0,0.000,7902,l10_expected_value_out_of_range,0,0.000,1064,l10_expected_value_out_of_range
L10-051,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2052,0,0.000,1517,l10_expected_value_out_of_range,0,0.000,2390,l10_expected_value_out_of_range,0,0.000,3042,l10_expected_value_out_of_range,0,0.000,1260,l10_expected_value_out_of_range
L10-052,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1819,0,0.000,2720,l10_expected_value_out_of_range,0,0.000,2333,mismatch_fieldname,0,0.000,1200,l10_expected_value_out_of_range,0,0.000,1021,l10_expected_value_out_of_range
L10-053,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2533,0,0.000,2414,l10_expected_value_out_of_range,0,0.000,3351,l10_expected_value_out_of_range,0,0.000,1938,l10_expected_value_out_of_range,0,0.000,2428,l10_expected_value_out_of_range
L10-054,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,1708,0,0.000,1771,l10_expected_value_out_of_range,0,0.400,2742,,0,0.000,1510,l10_expected_value_out_of_range,0,0.000,807,l10_expected_value_out_of_range
L10-055,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,14016,0,0.000,3902,l10_expected_value_out_of_range,0,0.000,5139,l10_expected_value_out_of_range,0,0.000,6004,l10_expected_value_out_of_range,0,0.000,41019,l10_expected_value_out_of_range
L10-056,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2307,0,0.000,5074,l10_expected_value_out_of_range,0,0.000,1459,l10_expected_value_out_of_range,0,0.000,954,l10_expected_value_out_of_range,0,0.000,1740,l10_expected_value_out_of_range
L10-057,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2729,0,0.400,4525,,0,0.000,4360,l10_expected_value_out_of_range,0,0.000,746,l10_expected_value_out_of_range,0,0.000,1285,l10_expected_value_out_of_range
L10-058,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.100,2158,0,0.000,3283,l10_expected_value_out_of_range,0,0.400,1390,,0,0.000,2529,l10_expected_value_out_of_range,0,0.000,1429,l10_expected_value_out_of_range
L10-060,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1833,0,0.000,1663,l10_expected_value_out_of_range,0,0.000,2672,mismatch_fieldname,0,0.000,1592,l10_expected_value_out_of_range,0,0.000,1406,l10_expected_value_out_of_range
L10-061,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,8899,0,0.000,2234,l10_expected_value_out_of_range,0,0.000,1658,mismatch_fieldname,0,0.000,1761,l10_expected_value_out_of_range,0,0.000,29942,l10_expected_value_out_of_range
L10-062,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2425,0,0.000,3971,l10_expected_value_out_of_range,0,0.000,1927,mismatch_fieldname,0,0.000,1080,l10_expected_value_out_of_range,0,0.000,2720,l10_expected_value_out_of_range
L10-064,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,4675,0,0.000,2897,l10_expected_value_out_of_range,0,0.000,7410,l10_expected_value_out_of_range,0,0.000,6395,l10_expected_value_out_of_range,0,0.000,1998,mismatch_fieldname
L10-065,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1915,0,0.000,2973,l10_expected_value_out_of_range,0,0.000,2392,l10_expected_value_out_of_range,0,0.000,1043,l10_expected_value_out_of_range,0,0.000,1252,l10_expected_value_out_of_range
L10-066,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1751,0,0.000,2203,l10_expected_value_out_of_range,0,0.000,2532,l10_expected_value_out_of_range,0,0.000,1424,l10_expected_value_out_of_range,0,0.000,844,l10_expected_value_out_of_range
L10-067,10,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,1747,0,0.000,2251,l10_expected_value_out_of_range,0,0.000,1898,l10_expected_value_out_of_range,0,0.000,917,l10_expected_value_out_of_range,0,0.000,1921,l10_expected_value_out_of_range
AGI-001,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.045,5248,0,0.052,3477,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:shorts.MATIC.units|agi_validation_failed:shorts.SOL.units|agi_validation_failed:expected_risk_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd,0,0.000,2052,agi_validation_failed:intent|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field|missing_field,0,0.052,4542,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:shorts.MATIC.units|agi_validation_failed:shorts.SOL.units|agi_validation_failed:expected_risk_reduction_pct|agi_validation_failed:worst_case_residual_pnl_usd,0,0.078,10922,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:shorts.MATIC.units|agi_validation_failed:shorts.SOL.units|agi_validation_failed:worst_case_residual_pnl_usd
AGI-002,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.059,5043,0,0.088,6018,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct,0,0.147,5265,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence,0,0.000,4361,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|agi_validation_failed:venue_fills.Dark_RFQ_B|agi_validation_failed:venue_fills.CEX_Y|agi_validation_failed:venue_fills.RFQ_A|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct,0,0.000,4527,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:execution_sequence|missing_field|missing_field|missing_field|agi_validation_failed:expected_avg_price|agi_validation_failed:expected_slippage_pct
AGI-003,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.214,2775,0,0.286,3089,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,0,0.286,3645,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,0,0.000,2915,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_eth|agi_validation_failed:net_exposure_eth|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check,0,0.286,1450,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:worst_case_margin_drawdown_pct|agi_validation_failed:funding_window_pnl_usd|agi_validation_failed:self_check
AGI-004,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.731,4523,0,0.731,3300,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,0,0.731,5932,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,0,0.731,3378,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd|agi_validation_failed:liquidity_48h_usd,0,0.731,5480,agi_validation_failed:intent|agi_validation_failed:allocation_usd.Curve_3pool|agi_validation_failed:allocation_usd.Aave_USDC|agi_validation_failed:allocation_usd.Ethena_USDe|agi_validation_failed:allocation_usd.GMX_GLP|agi_validation_failed:expected_net_apy_pct|agi_validation_failed:expected_90d_profit_usd
AGI-005,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.344,4302,0,0.500,5704,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check,0,0.375,5581,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_loss_usd|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check,0,0.375,3261,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:self_check,0,0.125,2663,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:route_allocation_usd.Delta|agi_validation_failed:observable_largest_clip_usd|agi_validation_failed:expected_loss_usd|agi_validation_failed:expected_arrival_minutes|agi_validation_failed:self_check
AGI-006,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.618,3844,0,0.824,5189,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,0,0.765,3323,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:child_order_btc|agi_validation_failed:expected_avg_price,0,0.824,3464,agi_validation_failed:intent|agi_validation_failed:price_band|agi_validation_failed:expected_avg_price,0,0.059,3399,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:price_band|agi_validation_failed:child_order_btc|agi_validation_failed:expected_avg_price
AGI-007,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.391,4328,0,0.313,8526,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,0,0.313,3077,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,0,0.625,3198,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct,0,0.313,2510,agi_validation_failed:intent|agi_validation_failed:position|agi_validation_failed:chosen_strategy|agi_validation_failed:expected_12d_price_change_pct
AGI-008,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.167,6626,0,0.222,4725,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.222,6750,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.222,4431,agi_validation_failed:intent|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check,0,0.000,10598,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:actions|agi_validation_failed:priority_order|agi_validation_failed:direct_usdt_neutralized_usd|agi_validation_failed:latest_direct_neutralization_min|agi_validation_failed:margin_notional_reduced_usd|agi_validation_failed:expected_execution_cost_usd|agi_validation_failed:self_check
AGI-009,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,2293,0,0.000,3211,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,0,0.000,2368,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,0,0.000,2354,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes,0,0.000,1237,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:chosen_path|agi_validation_failed:expected_wld|agi_validation_failed:completion_minutes
AGI-010,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.341,4396,0,0.455,5908,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,0,0.455,3010,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,0,0.030,2422,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd,0,0.424,6245,agi_validation_failed:intent|agi_validation_failed:spread_bps|agi_validation_failed:update_ms|agi_validation_failed:max_inventory_usd|agi_validation_failed:toxic_defense|agi_validation_failed:expected_daily_pnl_usd
AGI-011,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.242,3005,0,0.313,3235,agi_validation_failed:chosen_strategy|agi_validation_failed:withdrawal_sequence|agi_validation_failed:ev_withdraw|agi_validation_failed:ev_stay,0,0.344,2151,agi_validation_failed:chosen_strategy|agi_validation_failed:withdrawal_sequence|agi_validation_failed:ev_stay,0,0.313,3909,agi_validation_failed:chosen_strategy|agi_validation_failed:withdrawal_sequence|agi_validation_failed:ev_withdraw|agi_validation_failed:ev_stay,0,0.000,2724,agi_validation_failed:decision|agi_validation_failed:chosen_strategy|agi_validation_failed:withdrawal_sequence|agi_validation_failed:ev_withdraw|agi_validation_failed:ev_stay
AGI-012,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.000,5226,0,0.000,7621,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.000,4726,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.000,4960,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd,0,0.000,3596,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:hedge_legs.SOL_short.notional_usd|agi_validation_failed:hedge_legs.BTC_put_spread.notional_usd|agi_validation_failed:expected_vol_reduction_pct|agi_validation_failed:residual_1d_var_usd
AGI-013,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.331,5325,0,0.604,8083,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains,0,0.360,5064,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains,0,0.360,3465,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:sale_sequence|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains,0,0.000,4687,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:assets_to_sell|agi_validation_failed:sale_sequence|agi_validation_failed:replacement_assets.SOL|agi_validation_failed:replacement_assets.LINK|agi_validation_failed:replacement_assets.MATIC|agi_validation_failed:net_tax_benefit|agi_validation_failed:remaining_unoffset_gains
AGI-014,11,0,,meta-llama/llama-3.3-70b-instruct;meta-llama/llama-4-maverick;meta-llama/llama-4-scout;meta-llama/llama-3.1-8b-instruct,0.509,4141,0,0.509,3472,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd,0,0.509,5394,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd,0,0.509,4496,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd,0,0.509,3202,agi_validation_failed:intent|agi_validation_failed:chosen_strategy|agi_validation_failed:leverage|agi_validation_failed:apr_pct|agi_validation_failed:pnl_30d_usd
